name,city,state,lat,lng,price
WOODSHED OF BIG CABIN,Big Cabin,OK,36.534,-95.2246,3.00733333
KWIK TRIP #796,Tomah,WI,43.9838,-90.4733,3.28733333
SHELL DBA ONE9 #1244,Gila Bend,AZ,32.9306,-112.7468,3.259
LITTLEFIELD EXPRESS #2,Fort Smith,AR,35.367131,-94.396023,3.399
ACI TRUCK STOP,Columbia,NJ,40.9388,-75.055,3.079
SHEETZ #701,Mount Jackson,VA,38.7857,-78.6803,2.874
TEXAS TRAVEL CENTER,Jarrell,TX,30.8119,-97.5942,2.83233333
PETRO STOPPING CENTER #348,Shorter,AL,32.3836,-85.9162,3.154
CIRCLE K #4700101,Seymour,IN,38.9571,-85.8825,3.499
CASEYS #3205,Council Bluffs,IA,41.251967,-95.853667,3.599
TOPS TRUCK STOP,Sterling,ND,46.8436,-100.2744,3.51566666
MAVERIK COUNTRY STORE #616,Montrose,CO,38.4377,-107.899767,3.39566666
OASIS TRAVEL PLAZA,Laurel,DE,38.5537,-75.5631,3.229
DELAWARE TRUCK PLAZA,New Castle,DE,39.6065,-75.604933,3.249
One9 #89,Ellenton,FL,27.5382,-82.5006,3.439
DOWNIEVILLE FUEL STOP,Dumont,CO,39.7647,-105.6003,3.459
MOLLYS FOOD & FUEL,Crawfordville,GA,33.5708,-82.8872,3.499
SPEEDWAY #8723,Bridgeport,MI,43.3553,-83.8549,3.249
Lupton Truck Stop #567,Lupton,AZ,35.3539,-109.0537,3.299
ONE9 XPRESS FUEL #1264,Eloy,AZ,32.7509,-111.5833,3.139
CIRCLE K #4700095,Henderson,KY,37.8173,-87.58115,3.609
QUIKTRIP #7191,Effingham,IL,39.1217,-88.5611,2.999
LOVES TRAVEL STOP #766,Atkinson,IL,41.4162,-90.0225,3.389
PILOT TRAVEL CENTERS #446,Daleville,IN,40.1257,-85.511,3.514
ALL AMERICAN STORES #7,Fort Wayne,IN,41.089977,-85.100156,3.559
CUBBYS #2101,Gothenburg,NE,40.94,-100.1547,3.13233333
Mr Fuel dba Pilot Express #1149,Jacksonville,FL,30.311931,-81.653317,3.239
PILOT TRAVEL CENTERS #79,Denham Springs,LA,30.468333,-90.8833,3.23233333
ROAD RANGER #240,Lake Station,IN,41.5686,-87.2622,3.559
PILOT TRAVEL CENTERS #448,Hebron,IN,41.3155,-87.2088,3.354
Hop-In Food Stores,Nacogdoches,TX,31.65168,-94.6163,2.859
COFFEE CUP FUEL STOP #5,Moorcroft,WY,44.4154,-104.8389,3.239
DUDLEYS CORNER,Latimer,IA,42.7598,-93.3518,3.23233333
Kwik Star#223,Clear Lake,IA,43.1406,-93.385,3.079
Brew Stuart Truckstop,Stuart,IA,41.5033,-94.3186,3.099
QUIKTRIP #7151,West Memphis,AR,35.14745,-90.1812,2.999
SINCLAIR,Atwood,CO,40.5082,-103.2749,3.299
24/7 TRAVEL PLAZA,Salina,KS,38.832,-97.62675,2.974
PILOT TRAVEL CENTERS #31,Highland,IN,41.55,-87.4569,3.799
MARATHON,Sardinia,OH,38.9832,-83.7966,3.56566666
CIRCLE K #2721593,Ocean Springs,MS,30.42585,-88.80395,3.41566666
DERBY CITYS TRUCK PLAZA,Mount Vernon,KY,37.3983,-84.3379,2.999
LOVES TRAVEL STOPS #363,Ocala,FL,29.1703,-82.148907,3.329
SUPER LUCKY LOUIES,Port Allen,LA,30.472,-91.2541,3.03233333
SAVE,Lake Village,IN,41.1387,-87.4454,3.179
BIG D TRUCK TRAVEL PLAZA,Duson,LA,30.1912,-92.1525,2.98233333
DISCOUNT ZONE,New Orleans,LA,29.957052,-90.070359,3.149
GOLDEN OX TRUCK STOP,Hays,KS,38.8782,-99.3348,3.499
BFS FOODS #66,Grantsville,MD,39.6551,-79.1241,3.899
PILOT TRAVEL CENTER #917- TOWN PUMP,Great Falls,MT,47.52696,-111.28084,3.63566666
CASEYS #3956,Bridgman,MI,41.9362,-86.5543,3.559
CORNER MARKET #117,Dodge City,KS,37.7569,-100.0241,3.399
LOVES TRAVEL STOP #645,Monroe,MI,41.91865,-83.45835,3.239
CARLISLE PLAZA,Carlisle,IN,38.9763,-87.3667,3.499
SPEEDWAY #6092,Taylorsville,IN,39.2953,-85.9498,3.35733333
LOVES TRAVEL STOP #173,Lawrence,KS,38.96718,-95.25106,3.229
PETES #56,Cherryvale,KS,37.2668,-95.559,3.23233333
LOVES TRAVEL STOP #176,Matfield Green,KS,38.1448,-96.5541,3.25566666
PRIDE CONVENIENCE STORE,Springfield,MA,42.124379,-72.572732,3.559
QUIKTRIP #231,Kansas City,KS,39.104587,-94.69292,3.199
FATDOGS OGALLALA,Ogallala,NE,41.1275,-101.7107,3.014
FLYING J TRAVEL PLAZA #748,Willard,UT,41.3989,-112.0317,3.749
PILOT TRAVEL CENTER #91,Saint Johns,FL,30.0815,-81.5477,3.424
7-ELEVEN #40514,Portage,IN,41.5672,-87.1757,3.99066666
LOVES TRAVEL STOP #403,Binghamton,NY,42.113,-75.8936,3.679
WILTON TRAVEL PLAZA,Gansevoort,NY,43.1803,-73.7053,3.749
WARREN OIL,Hammond,IN,41.57518,-87.46972,3.439
7-Eleven #41830,Jacksonville,TX,31.9618,-95.2703,2.91566666
Maverik #727,Yuma,AZ,32.68054,-114.55854,3.179
